[2022-09-02 20:50:57 : INFO] - Task with ID 652 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/2-3.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 651, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 651 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/5-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 650, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 650 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/screenshot.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 649, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 649 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/6-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 648, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 648 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Q.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 647, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 647 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/A-6.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 646, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 646 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/A-7.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 645, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 645 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/A-8.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 644, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 644 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/A-9.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 643, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 643 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/TG-Logo-BLACK-01-1-scaled.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 642, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 642 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/1-01-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 641, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 641 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/2-01-2.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 640, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 640 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/3-01-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 639, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 639 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/4-01-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 638, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 638 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/5-01-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 637, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 637 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/6-01-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 636, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 636 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/7-01-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 635, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 635 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/8-01-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 634, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 634 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/9-01.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 633, and type 'smush' 
